name,pos,team,proj,adp
K5,K,CAR,144.1,223
K6,K,CHI,142.7,224
DST9,DST,DAL,136.3,226
K7,K,CIN,141.3,228
K8,K,CLE,139.9,230
DST10,DST,DEN,133.6,232
K9,K,DAL,138.5,233
K10,K,DEN,137.1,235
DST11,DST,DET,131.0,236
K11,K,DET,135.7,238
K12,K,GB,134.4,239
DST12,DST,GB,128.4,239
K13,K,HOU,133.0,243
DST13,DST,HOU,125.9,243
K14,K,IND,131.7,245
DST14,DST,IND,123.4,246
